pinyin,1,2,3,4
an,安,,,
ben,,,本,
da,,达,,大
fan,,梵,,范
feng,,冯,,
gong,,,,贡
jian,,,简,
jin,金,,,
ken,,,肯,
sheng,,,,圣
su,苏,,,
yang,,杨,,
